code,use,ITE Code,Rate,Variable,Flag
TRPA10,Single-Family Detached,210,9.43,DU,
TRPA11,"Multi-Family (low-rise, one or two levels)",220,6.74,DU,
TRPA17,Senior Adult Housing – Attached,252,3.24,DU,
TRPA18,Congregate Care Facility (Residential Care),253,2.21,DU,
TRPA20,Hotel,310,7.99,Units,
TRPA23,Motel,320,3.35,Units,
TRPA14,Timeshare,265,8.63,Units,
LA11,General retail,820,37.01,KSF,
TRPA101,Furniture Store,890,6.3,KSF,
TRPA99,Pharmacy/Drugstore,880,90.08,KSF,
TRPA92,Supermarket,850,93.84,KSF,
TRPA102,Drive-In Bank,912,100.35,KSF,
TRPA107,High Turnover Sit-Down Restaurant (<1 hr. turnover),932,107.2,KSF,
TRPA108,Fast Food Restaurant,933,450.49,KSF,
TRPA106,Quality Restaurant (>1 hr. turnover),931,83.84,KSF,
TRPA103,Drinking Place,975,11.36,KSF,
TRPA89,Auto Parts and Service Center,943,16.6,KSF,
TRPA77,Building Materials/Lumber,812,17.05,KSF,
TRPA79,Free-Standing Discount Store,815,53.87,KSF,
TRPA63,"General Office Building (GFA of more than 5,000 sf)",710,10.84,KSF,
TRPA67,Medical –Dental Office Building,720,36,KSF,
LA26,Light industrial,110,4.87,KSF,
LA28,Warehouse,150,1.71,KSF,
TRPA31,Public Park,411,0.78,Acres,
TRPA33,Marina,420,2.41,Berths,Limited Sample Size
TRPA34,Golf Course,430,30.38,Holes,
TRPA35,Bowling Alley,437,1.48,Bowling Lanes,Insufficient Data
TRPA36,Movie Theater (traditional),445,220,Movie Screens,Limited Sample Size
TRPA41,Health and Fitness Club,492,38.97,KSF,Insufficient Data
TRPA43,Recreational Community Center,495,28.82,KSF,
TRPA52,University/College,540,1.15,Students,
TRPA46,High School,525,1.94,Students,
TRPA45,Middle School/Junior High School,522,2.1,Students,
TRPA44,Elementary School,520,2.27,Students,
TRPA48,Private School (K-12),532,2.48,Students,Insufficient Data
TRPA53,Church,560,7.6,KSF,
TRPA56,Daycare Center,565,47.62,KSF,
TRPA58,Library,590,72.05,KSF,
TRPA59,Hospital,610,10.77,KSF,
